TenantId,TimeGenerated,SourceSystem,Account,AccountType,Computer,EventSourceName,Channel,Task,Level,EventID,Activity
6618e8e6-0ec0-4001-9280-a9835bdbd933,2026-09-15T10:42:57.0000000Z,OpsManager,Account434,Unknown,10.168.5.38,Microsoft-Windows-Security-Auditing,Security,14339,0.0,4771,4771 - Kerberos pre-authentication failed.
6618e8e6-0ec0-4001-9280-a9835bdbd933,2026-09-15T10:21:56.0000000Z,OpsManager,Account147,Machine,10.168.5.39,Microsoft-Windows-Security-Auditing,Security,13826,0.0,4799,4799 - A security-enabled local group membership was enumerated.
6618e8e6-0ec0-4001-9280-a9835bdbd933,2026-09-15T08:44:15.0000000Z,OpsManager,Account363,User,10.235.9.125,Microsoft-Windows-Security-Auditing,Security,12811,0.0,5145,5145 - A network share object was checked to see whether client can be granted desired access.
6618e8e6-0ec0-4001-9280-a9835bdbd933,2026-09-15T12:54:52.0000000Z,OpsManager,Account276,Machine,10.168.5.66,Microsoft-Windows-Security-Auditing,Security,12544,0.0,4624,4624 - An account was successfully logged on.
6618e8e6-0ec0-4001-9280-a9835bdbd933,2026-09-15T14:41:30.0000000Z,OpsManager,Account317,Machine,10.168.5.153,Microsoft-Windows-Security-Auditing,Security,12812,0.0,4663,4663 - An attempt was made to access an object.
6618e8e6-0ec0-4001-9280-a9835bdbd933,2026-09-15T10:28:25.0000000Z,OpsManager,Account127,Unknown,10.235.9.167,Microsoft-Windows-Security-Auditing,Security,14336,0.0,4776,4776 - The computer attempted to validate the credentials for an account.
6618e8e6-0ec0-4001-9280-a9835bdbd933,2026-09-15T11:06:03.0000000Z,OpsManager,Account29,Machine,10.235.9.202,Microsoft-Windows-Security-Auditing,Security,12555,0.0,6427,6427
6618e8e6-0ec0-4001-9280-a9835bdbd933,2026-09-15T14:58:41.0000000Z,OpsManager,Account59,Unknown,10.168.5.48,Microsoft-Windows-Security-Auditing,Security,13824,0.0,5379,-
6618e8e6-0ec0-4001-9280-a9835bdbd933,2026-09-15T08:21:55.0000000Z,OpsManager,Account33,Unknown,10.6.6.90,Microsoft-Windows-Security-Auditing,Security,13571,0.0,4957,4957 - Windows Firewall did not apply the following rule:
6618e8e6-0ec0-4001-9280-a9835bdbd933,2026-09-10T10:45:03.0000000Z,OpsManager,Account427,User,10.235.9.183,Microsoft-Windows-Security-Auditing,Security,12812,0.0,4663,4663 - An attempt was made to access an object.
6618e8e6-0ec0-4001-9280-a9835bdbd933,2026-09-15T09:07:06.0000000Z,OpsManager,Account4,Machine,10.235.9.108,Microsoft-Windows-Security-Auditing,Security,12289,0.0,4611,4611 - A trusted logon process has been registered with the Local Security Authority.
6618e8e6-0ec0-4001-9280-a9835bdbd933,2026-09-15T11:00:14.0000000Z,OpsManager,Account290,Machine,10.6.6.26,Microsoft-Windows-Security-Auditing,Security,12292,0.0,5059,5059 - Key migration operation.
6618e8e6-0ec0-4001-9280-a9835bdbd933,2026-09-15T11:38:29.0000000Z,OpsManager,Account251,Unknown,10.235.9.148,Microsoft-Windows-Security-Auditing,Security,12551,0.0,4778,4778 - A session was reconnected to a Window Station.
6618e8e6-0ec0-4001-9280-a9835bdbd933,2026-09-15T10:58:43.0000000Z,OpsManager,Account161,Machine,10.235.9.170,Microsoft-Windows-Security-Auditing,Security,13312,0.0,4688,4688 - A new process has been created.
6618e8e6-0ec0-4001-9280-a9835bdbd933,2026-09-15T09:35:08.0000000Z,OpsManager,Account569,User,10.235.9.236,Microsoft-Windows-Security-Auditing,Security,14339,0.0,4768,4768 - A Kerberos authentication ticket (TGT) was requested.
6618e8e6-0ec0-4001-9280-a9835bdbd933,2026-09-15T09:56:53.0000000Z,OpsManager,Account49,Machine,10.168.5.80,Microsoft-Windows-Security-Auditing,Security,12800,0.0,4656,-
6618e8e6-0ec0-4001-9280-a9835bdbd933,2026-09-15T10:25:41.0000000Z,OpsManager,Account496,Unknown,10.168.5.18,Microsoft-Windows-Security-Auditing,Security,12810,0.0,5158,-
6618e8e6-0ec0-4001-9280-a9835bdbd933,2026-09-15T11:03:19.0000000Z,OpsManager,Account108,User,10.168.5.26,Microsoft-Windows-Security-Auditing,Security,13824,0.0,4797,4797 - An attempt was made to query the existence of a blank password for an account.
6618e8e6-0ec0-4001-9280-a9835bdbd933,2026-09-15T11:48:22.0000000Z,OpsManager,Account9,Machine,10.235.9.171,Microsoft-Windows-Security-Auditing,Security,12292,0.0,5058,5058 - Key file operation.
